A	[A]	ax
LOSES	[LOSES]	l uw z ax z
LOSING	[LOSING]	l uw z ix ng
LOSS	[LOSS]	l ao s
LOST	[LOST]	l ao s t
LOT	[LOT]	l aa t
LOT'S	[LOT'S]	l aa t s
LOTION	[LOTION]	l ow sh ax n
LOTS	[LOTS]	l aa t s
LOTS_OF	[LOTS_OF]	l aa t s ax
LOU	[LOU]	l uw
LOUD	[LOUD]	l aw d
LOUDER	[LOUDER]	l aw dx er
LOUDEST	[LOUDEST]	l aw dx ax s t
LOUDLY	[LOUDLY]	l aw d l iy
LOUIE	[LOUIE]	l uw iy
LOUISE	[LOUISE]	l uw iy z
LOUNGE	[LOUNGE]	l aw n jh
LOVE	[LOVE]	l ah v
LOVED	[LOVED]	l ah v d
LOVELY	[LOVELY]	l ah v l iy
LOVES	[LOVES]	l ah v z
LOVESEAT	[LOVESEAT]	l ah v z iy t
LOVING	[LOVING]	l ah v ix ng
LOW	[LOW]	l ow
LOWA	[LOWA]	l ow ax
LOWER	[LOWER]	l ow er
LOWFAT	[LOWFAT]	l ow f ae t
LOWLY	[LOWLY]	l ow l iy
LOXY	[LOXY]	l aa k s iy
LOY	[LOY]	l oy
LUCILLE	[LUCILLE]	l uw s iy l
LUCIWALL	[LUCIWALL]	l uw s iy w ah l
LUCK	[LUCK]	l ah k
LUCKILY	[LUCKILY]	l ah k ax l iy
LUCKY	[LUCKY]	l ah k iy
LUCY	[LUCY]	l uw s iy
LUCY'S	[LUCY'S]	l uw s iy z
LUCYBUCY	[LUCYBUCY]	l uw s iy b y uw s iy
LULA	[LULA]	l uw l ax
LULLABIES	[LULLABIES]	l ah l ax b ay z
LULLABY	[LULLABY]	l ah l ax b ay
LULU	[LULU]	l uw l uw
LULU'S	[LULU'S]	l uw l uw z
LUNA	[LUNA]	l uw n ax
LUNA'S	[LUNA'S]	l uw n ax z
LUNCH	[LUNCH]	l ah n ch
LUNCHTIME	[LUNCHTIME]	l ah n ch t ay m
LURCHED	[LURCHED]	l er ch t
LURKEY	[LURKEY]	l er k iy
LURSIE	[LURSIE]	l er s iy
LUSIL	[LUSIL]	l uw s ih l
LY	[LY]	l ay
LYING	[LYING]	l ay ix ng
LYNN	[LYNN]	l ih n
LYNNE	[LYNNE]	l ih n
LYNX	[LYNX]	l ih ng k s
LYRIC	[LYRIC]	l ih r ix k
LYRICS	[LYRICS]	l ih r ix k s
M	[M]	ax m
M'S	[M'S]	eh m z
MA	[MA]	m aa
MA'S	[MA'S]	m aa z
MAA	[MAA]	m aa
MABE	[MABE]	m ey b
MAC	[MAC]	m ae k
MACARONI	[MACARONI]	m ae k er ow n iy
MACDONALD	[MACDONALD]	m ax k d aa n ax l d
MACDONALD'S	[MACDONALD'S]	m ax k d aa n ax l d z
MACHINE	[MACHINE]	m ax sh iy n
MACHINE'S	[MACHINE'S]	m ax sh iy n z
MACHINES	[MACHINES]	m ax sh iy n z
MACK	[MACK]	m ae k
MACY'S	[MACY'S]	m ey s iy z
MAD	[MAD]	m ae d
MADAM	[MADAM]	m ae dx ax m
MADDOX	[MADDOX]	m ae dx ax k s
MADE	[MADE]	m ey d
MADEUP	[MADEUP]	m ey d ah p
MAGAZINE	[MAGAZINE]	m ae g ax z iy n
MAGGIE	[MAGGIE]	m ae g iy
MAGIC	[MAGIC]	m ae jh ix k
MAGICIANS	[MAGICIANS]	m ax jh ih sh ax n z
MAGNET	[MAGNET]	m ae g n ax t
MAGOO	[MAGOO]	m ae g uw
MAGOOGY	[MAGOOGY]	m ax g uw g iy
MAHAL	[MAHAL]	m ax hh aa l
MAHNKEYBOW	[MAHNKEYBOW]	m ah ng k iy b ow
MAHNKEYBOWLS	[MAHNKEYBOWLS]	m ah ng k iy b ow l z
MAID	[MAID]	m ey d
MAIL	[MAIL]	m ey l
MAILBAGS	[MAILBAGS]	m ey l b ae g z
MAILBOX	[MAILBOX]	m ey l b aa k s
MAILCARRIER	[MAILCARRIER]	m ey l k ae r iy er
MAILING	[MAILING]	m ey l ix ng
MAILMAN	[MAILMAN]	m ey l m ae n
MAILPERSON	[MAILPERSON]	m ey l p er s ax n
MAILTRUCK	[MAILTRUCK]	m ey l t r ah k
MAIN	[MAIN]	m ey n
MAINE	[MAINE]	m ey n
MAINTENANCE	[MAINTENANCE]	m ey n t ax n ax n s
MAISEY	[MAISEY]	m ey s iy
MAISEY'S	[MAISEY'S]	m ey z iy z
MAISY	[MAISY]	m ay z iy
MAISY'S	[MAISY'S]	m ey z iy z
MAIZE	[MAIZE]	m ey z
MAKE	[MAKE]	m ey k
MAKER	[MAKER]	m ey k er
MAKES	[MAKES]	m ey k s
MAKETUK	[MAKETUK]	m ey k t ah k
MAKEUP	[MAKEUP]	m ey k ah p
MAKING	[MAKING]	m ey k ix ng
MALA	[MALA]	m aa l ax
MALFUNCTION	[MALFUNCTION]	m ae l f ah ng k sh ax n
MALL	[MALL]	m ao l
MALL'S	[MALL'S]	m ao l z
MALLETS	[MALLETS]	m ae l ix t s
MAMA	[MAMA]	m aa m ax
MAMA'S	[MAMA'S]	m aa m ax z
MAMAS	[MAMAS]	m aa m ax z
MAMMA	[MAMMA]	m aa m ax
MAMMAL	[MAMMAL]	m ae m ax l
MAMMALS	[MAMMALS]	m ae m ax l z
MAN	[MAN]	m ae n
MAN'S	[MAN'S]	m ae n z
MANA	[MANA]	m aa n ax
MANAGE	[MANAGE]	m ae n ax jh
MANAGED	[MANAGED]	m ae n ax jh d
MANANA	[MANANA]	m aa n ax n aa
MANDRILL	[MANDRILL]	m ae n d r ix l
MANE	[MANE]	m ey n
MANEY	[MANEY]	m ey n iy
MANGANY	[MANGANY]	m aa ng ax n iy
MANGI	[MANGI]	m ae n jh iy
MANGO	[MANGO]	m ae ng g ow
MANHATTAN	[MANHATTAN]	m ae n hh ae t ax n
MANI	[MANI]	m aa n iy
MANIAC	[MANIAC]	m ey n iy ae k
MANNER	[MANNER]	m ae n er
MANNERS	[MANNERS]	m ae n er z
MANTIS	[MANTIS]	m ae n t ix s
MANUEL	[MANUEL]	m aa n w eh l
MANUELA	[MANUELA]	m ae n w ey l ax
MANUELA'S	[MANUELA'S]	m ae n w ey l ax z
MANUMINY	[MANUMINY]	m ax n ah m ax n iy
MANY	[MANY]	m eh n iy
MAP	[MAP]	m ae p
MAPLE	[MAPLE]	m ey p ax l
MAPS	[MAPS]	m ae p s
MARA	[MARA]	m aa r ax
MARACA	[MARACA]	m aa r ax k ah
MARACAS	[MARACAS]	m aa r ax k ae s
MARCH	[MARCH]	m aa r ch
MARCO	[MARCO]	m aa r k ow
MARGE	[MARGE]	m aa r jh
MARIA	[MARIA]	m er iy ax
MARIGOLDS	[MARIGOLDS]	m eh r ax g ow l d z
MARK	[MARK]	m aa r k
MARKER	[MARKER]	m aa r k er
MARKERS	[MARKERS]	m aa r k er z
MARKET	[MARKET]	m aa r k ax t
MARKS	[MARKS]	m aa r k s
MARMALADE	[MARMALADE]	m aa r m ax l ey d
MARRIAGE	[MARRIAGE]	m eh r ix jh
MARRIED	[MARRIED]	m eh r iy d
MARSH	[MARSH]	m aa r sh
MARSHAL	[MARSHAL]	m aa r sh ax l
MARSUPIALS	[MARSUPIALS]	m aa r s uw p iy ax l z
MARTHA'S	[MARTHA'S]	m aa r th ax z
MARTIN	[MARTIN]	m aa r t ax n
MARVELOUS	[MARVELOUS]	m aa r v ax l ax s
MARY	[MARY]	m eh r iy
MASH	[MASH]	m ae sh
MASHED	[MASHED]	m ae sh t
MASHEDPOTATOES	[MASHEDPOTATOES]	m ae sh t p ax t ey dx ow z
MASHPEE	[MASHPEE]	m ae sh p iy
MASK	[MASK]	m ae s k
MASON	[MASON]	m ey s ax n
MASS	[MASS]	m ae s
MASSAGE	[MASSAGE]	m ax s aa zh
MASSAGING	[MASSAGING]	m ax s aa zh ix ng
MASTA	[MASTA]	m aa z t aa
MASTER	[MASTER]	m ae s t er
MASTER'S	[MASTER'S]	m ae s t er z
MASTERCARD	[MASTERCARD]	m ae s t er k aa r d
MASTERPIECE	[MASTERPIECE]	m ae s t er p iy s
MASTERS	[MASTERS]	m ae s t er z
MAT	[MAT]	m ae t
MATCH	[MATCH]	m ae ch
MATCHES	[MATCHES]	m ae ch ax z
MATCHING	[MATCHING]	m ae ch ix ng
MATERIAL	[MATERIAL]	m ax t ih r iy ax l
MATH	[MATH]	m ae th
MATS	[MATS]	m ae t s
MATT	[MATT]	m ae t
MATT'S	[MATT'S]	m ae t z
MATTER	[MATTER]	m ae dx er
MATTHEW	[MATTHEW]	m ae th y uw
MATTHEW'S	[MATTHEW'S]	m ae th y uw z
MATTRESS	[MATTRESS]	m ae t r ax s
MATTY	[MATTY]	m ae dx iy
MAU	[MAU]	m ow
MAURA	[MAURA]	m ao r ax
MAVE	[MAVE]	m ey v
MAVIS	[MAVIS]	m ey v ix s
MAW	[MAW]	m ao
MAX	[MAX]	m ae k s
MAX'S	[MAX'S]	m ae k s ix z
MAXIE	[MAXIE]	m ae k s iy
MAY	[MAY]	m ey
MAYBE	[MAYBE]	m ey b iy
MAYONNAISE	[MAYONNAISE]	m ey ax n ey z
MAYOR	[MAYOR]	m ey er
MAYZIE	[MAYZIE]	m ey z iy
MAZE	[MAZE]	m ey z
MAZY	[MAZY]	m ey z iy
MAZY'S	[MAZY'S]	m ey z iy z
MA_PIG	[MA_PIG]	m aa p ih g
MCDONALD	[MCDONALD]	m ax k d aa n ax l d
MCDONALD'S	[MCDONALD'S]	m ax k d aa n ax l d z
MCGRACK	[MCGRACK]	m ih g r ae k
MCPINK	[MCPINK]	m ix k p ih ng k
MCPINK'S	[MCPINK'S]	m ih k p ih ng k s
MCVETTER	[MCVETTER]	m ix k v eh dx er
ME	[ME]	m iy
MEADOW	[MEADOW]	m eh d ow
MEADOWS	[MEADOWS]	m eh d ow z
MEAL	[MEAL]	m iy l
MEALS	[MEALS]	m iy l z
MEAN	[MEAN]	m iy n
MEANING	[MEANING]	m iy n ix ng
MEANINGFULNESS	[MEANINGFULNESS]	m iy n ix ng f ax l n eh s
MEANS	[MEANS]	m iy n z
MEANT	[MEANT]	m eh n t
MEANTIME	[MEANTIME]	m iy n t ay m
MEANWHILE	[MEANWHILE]	m iy n w ay l
MEANY	[MEANY]	m iy n iy
MEASURE	[MEASURE]	m eh zh er
MEASURES	[MEASURES]	m eh zh er z
MEASURING	[MEASURING]	m eh zh er ix ng
MEAT	[MEAT]	m iy t
MEATBALL	[MEATBALL]	m iy t b ao l
MEATBALLS	[MEATBALLS]	m iy t b ao l z
MECHANICS	[MECHANICS]	m ax k ae n ix k s
MEDICINE	[MEDICINE]	m eh dx ax s ax n
MEDICINES	[MEDICINES]	m eh dx ax s ax n z
MEDITECH	[MEDITECH]	m eh dx iy t eh k
MEDIUM	[MEDIUM]	m iy dx iy ax m
MEEMEE	[MEEMEE]	m iy m iy
MEENIE	[MEENIE]	m iy n iy
MEENY	[MEENY]	m iy n iy
MEET	[MEET]	m iy t
MEETING	[MEETING]	m iy dx ix ng
MEGAN	[MEGAN]	m ey g ax n
MEGHAN	[MEGHAN]	m eh g ax n
MEGULA	[MEGULA]	m eh g y uw l ax
MELON	[MELON]	m eh l ax n
MELONS	[MELONS]	m eh l ax n z
MELT	[MELT]	m eh l t
MELTDOWN	[MELTDOWN]	m eh l t d aw n
MELTED	[MELTED]	m eh l t ax d
MELTS	[MELTS]	m eh l t s
MEMBER	[MEMBER]	m eh m b er
MEMORY	[MEMORY]	m eh m er iy
MEN	[MEN]	m eh n
MENTION	[MENTION]	m eh n sh ax n
MENTIONED	[MENTIONED]	m eh n sh ax n d
MEOW	[MEOW]	m iy aw
MEOWING	[MEOWING]	m iy aw ih ng
MERE	[MERE]	m ih r
MERRILY	[MERRILY]	m eh r ax l iy
MERRY	[MERRY]	m eh r iy
MERRYGOROUND	[MERRYGOROUND]	m eh r iy g ow r aw n d
MESS	[MESS]	m eh s
MESSAGE	[MESSAGE]	m eh s ax jh
MESSED	[MESSED]	m eh s t
MESSING	[MESSING]	m eh s ix ng
MESSMAKER	[MESSMAKER]	m eh s m ey k er
MESSY	[MESSY]	m eh s iy
MESSYFACED	[MESSYFACED]	m eh s iy f ey s t
MET	[MET]	m eh t
METAL	[METAL]	m eh dx ax l
METS	[METS]	m eh t s
METTY	[METTY]	m eh t iy
MEY	[MEY]	m ey
MI	[MI]	m iy
MIC	[MIC]	m ih k
MICE	[MICE]	m ay s
MICHAEL	[MICHAEL]	m ay k ax l
MICHAEL'S	[MICHAEL'S]	m ay k ax l z
MICHELLE	[MICHELLE]	m ix sh eh l
MICKEY	[MICKEY]	m ih k iy
MICKEYMOUSE	[MICKEYMOUSE]	m ih k iy m aw s
MICROPHONE	[MICROPHONE]	m ay k r ax f ow n
MICROPHONE'S	[MICROPHONE'S]	m ay k r ax f ow n z
MICROPHONES	[MICROPHONES]	m ay k r ow f ow n z
MICROPHONE_A	[MICROPHONE_A]	m ay k r ax f ow n
MICROPHONE_B	[MICROPHONE_B]	m ah k ax
MICROWAVE	[MICROWAVE]	m ay k r ax w ey v
MICROWAVED	[MICROWAVED]	m ay k r ow w ey v d
MICS	[MICS]	m ay k s
MIDDLE	[MIDDLE]	m ih dx ax l
MIDNIGHT	[MIDNIGHT]	m ih d n ay t
MIGHT	[MIGHT]	m ay t
MIGHT'VE	[MIGHT'VE]	m ay dx ax v
MIGHTIER	[MIGHTIER]	m ay dx iy er
MIGHTY	[MIGHTY]	m ay dx iy
MIKADO	[MIKADO]	m ix k aa dx ow
MIKE	[MIKE]	m ay k
MIKER	[MIKER]	m iy k er
MIKES	[MIKES]	m ay k s
MIKEY	[MIKEY]	m ay k iy
MILE	[MILE]	m ay l
MILK	[MILK]	m ih l k
MILKARONI	[MILKARONI]	m ih l k ax r ow n iy
MILL	[MILL]	m ih l
MILLET	[MILLET]	m ih l ax t
MILLION	[MILLION]	m ih l y ax n
MILLIONS	[MILLIONS]	m ih l y ax n z
MIMI	[MIMI]	m iy m iy
MIMIC	[MIMIC]	m ih m ix k
MINA	[MINA]	m iy n ax
MINAMINA	[MINAMINA]	m iy n aa m iy n aa
MIND	[MIND]	m ay n d
MINDED	[MINDED]	m ay n d ax d
MINE	[MINE]	m ay n
MINE'S	[MINE'S]	m ay n z
MINH	[MINH]	m ih n
MINIE	[MINIE]	m iy n iy
MINIMUM	[MINIMUM]	m ih n ax m ax m
MINNIE	[MINNIE]	m ih n iy
MINNIEMOUSE	[MINNIEMOUSE]	m ih n iy m aw s
MINTS	[MINTS]	m ih n t s
MINTY	[MINTY]	m ih n t iy
MINUS	[MINUS]	m ay n ax s
MINUTE	[MINUTE]	m ih n ax t
MINUTES	[MINUTES]	m ih n ax t s
MINY	[MINY]	m ih n iy
MIRACLE	[MIRACLE]	m ih r ax k ax l
MIRROR	[MIRROR]	m ih r er
MIRROR'S	[MIRROR'S]	m ih r er z
MISCHIEF	[MISCHIEF]	m ih s ch ax f
MISCHIEVOUS	[MISCHIEVOUS]	m ih s ch ax v ax s
MISERABLE	[MISERABLE]	m ih z er ax b ax l
MISO	[MISO]	m iy s ow
MISS	[MISS]	m ih s
MISSED	[MISSED]	m ih s t
MISSES	[MISSES]	m ih s ax z
MISSING	[MISSING]	m ih s ix ng
MISSION	[MISSION]	m ih sh ax n
MISSUS	[MISSUS]	m ih s ix z
MISSY	[MISSY]	m ih s iy
MISTAKE	[MISTAKE]	m ix s t ey k
MISTAKES	[MISTAKES]	m ix s t ey k s
MISTER	[MISTER]	m ih s t er
MITTEN	[MITTEN]	m ih t ax n
MITTENS	[MITTENS]	m ih t ax n z
MIX	[MIX]	m ih k s
MIXA	[MIXA]	m ih k s ax
MIXED	[MIXED]	m ih k s t
MIXER	[MIXER]	m ih k s er
MIXERS	[MIXERS]	m ih k s er z
MIXES	[MIXES]	m ih k s ax z
MIXING	[MIXING]	m ih k s ix ng
MIXTURE	[MIXTURE]	m ih k s ch er
MO	[MO]	m ow
MOAN	[MOAN]	m ow n
MOANED	[MOANED]	m ow n d
MOBILE	[MOBILE]	m ow b ax l
MOBILES	[MOBILES]	m ow b ax l z
MOBY	[MOBY]	m ow b iy
MODEST	[MODEST]	m aa dx ax s t
MOISTURIZE	[MOISTURIZE]	m oy s ch er ay z
MOISTURIZED	[MOISTURIZED]	m oy s ch er ay z d
MOISTURIZER	[MOISTURIZER]	m oy s ch er ay z er
MOISTURIZING	[MOISTURIZING]	m oy s ch er ay z ix ng
MOLARS	[MOLARS]	m ow l er z
MOLDING	[MOLDING]	m ow l d ix ng
MOLDY	[MOLDY]	m ow l d iy
MOLE	[MOLE]	m ow l
MOLLY	[MOLLY]	m aa l iy
MOLLY'S	[MOLLY'S]	m aa l iy z
MOM	[MOM]	m aa m
MOM'S	[MOM'S]	m aa m z
MOMENT	[MOMENT]	m ow m ax n t
MOMENTS	[MOMENTS]	m ow m ax n t s
MOMMA	[MOMMA]	m aa m ax
MOMMA'S	[MOMMA'S]	m aa m ax z
MOMMIES	[MOMMIES]	m aa m iy z
MOMMILY	[MOMMILY]	m aa m ax l iy
MOMMILY'S	[MOMMILY'S]	m ah m ax l iy z
MOMMY	[MOMMY]	m aa m iy
MOMMY'S	[MOMMY'S]	m aa m iy z
MOMMYBEAR	[MOMMYBEAR]	m aa m iy b eh r
MONDAY	[MONDAY]	m ah n d iy
MONEY	[MONEY]	m ah n iy
MONEY'S	[MONEY'S]	m ah n iy z
MONITOR	[MONITOR]	m aa n ax dx er
MONK	[MONK]	m ah ng k
MONKEY	[MONKEY]	m ah ng k iy
MONKEY'S	[MONKEY'S]	m ah ng k iy z
MONKEYS	[MONKEYS]	m ah ng k iy z
MONSTER	[MONSTER]	m aa n s t er
MONSTER'S	[MONSTER'S]	m aa n s t er z
MONSTERS	[MONSTERS]	m aa n s t er z
MONTH	[MONTH]	m ah n th
MONTHS	[MONTHS]	m ah n th s
MOO	[MOO]	m uw
MOOD	[MOOD]	m uw d
MOOFY	[MOOFY]	m uw f iy
MOON	[MOON]	m uw n
MOON'S	[MOON'S]	m uw n z
MOONBEAM	[MOONBEAM]	m uw n b iy m
MOONFACE	[MOONFACE]	m uw n f ey s
MOONIE	[MOONIE]	m uw n iy
MOONLIGHT	[MOONLIGHT]	m uw n l ay t
MOONLIT	[MOONLIT]	m uw n l ih t
MOONS	[MOONS]	m uw n z
MOONY	[MOONY]	m uw n iy
MOORE	[MOORE]	m uh r
MOOS	[MOOS]	m uw z
MOOSE	[MOOSE]	m uw s
MOOSES	[MOOSES]	m uw s ih z
MOOSY	[MOOSY]	m uw s iy
MOP	[MOP]	m aa p
MOPING	[MOPING]	m ow p ix ng
MOPMOP	[MOPMOP]	m aa p m aa p
MOPPING	[MOPPING]	m aa p ix ng
MOPS	[MOPS]	m aa p s
MORE	[MORE]	m ao r
MORING	[MORING]	m ao r ix ng
MORN	[MORN]	m ao r n
MORNI	[MORNI]	m ao r n iy
MORNING	[MORNING]	m ao r n ix ng
MORNING'S	[MORNING'S]	m ao r n ix ng z
MOROCCA	[MOROCCA]	m ow r aa k ax
MORPHO	[MORPHO]	m ao r f ow
MORTGAGE	[MORTGAGE]	m ao r g ax jh
MOSQUITOS	[MOSQUITOS]	m ax s k iy dx ow z
MOST	[MOST]	m ow s t
MOSTLY	[MOSTLY]	m ow s t l iy
MOTHER	[MOTHER]	m ah dh er
MOTHER'S	[MOTHER'S]	m ah dh er z
MOTHS	[MOTHS]	m ao th s
MOTOR	[MOTOR]	m ow dx er
MOTORBOAT	[MOTORBOAT]	m ow dx er b ow t
MOTORCYCLE	[MOTORCYCLE]	m ow dx er s ay k ax l
MOTORCYCLECHICKEN	[MOTORCYCLECHICKEN]	m ow dx er s ay k ax l ch ih k ax n
MOTORCYCLES	[MOTORCYCLES]	m ow dx er s ay k ax l z
MOTRIN	[MOTRIN]	m aa t r ix n
MOUND	[MOUND]	m aw n d
MOUNT	[MOUNT]	m aw n t
MOUNTAIN	[MOUNTAIN]	m aw n t ax n
MOUNTAINS	[MOUNTAINS]	m aw n t ax n z
MOURN	[MOURN]	m ao r n
MOUSE	[MOUSE]	m aw s
MOUSE'S	[MOUSE'S]	m aw s ix z
MOUSES	[MOUSES]	m aw s ix z
MOUSEY	[MOUSEY]	m aw s iy
MOUSTACHE	[MOUSTACHE]	m ah s t ae sh
MOUTH	[MOUTH]	m aw th
MOUTHFUL	[MOUTHFUL]	m aw th f uh l
MOUTHS	[MOUTHS]	m aw dh z
MOVE	[MOVE]	m uw v
MOVED	[MOVED]	m uw v d
MOVES	[MOVES]	m uw v z
MOVIE	[MOVIE]	m uw v iy
MOVIES	[MOVIES]	m uw v iy z
MOVING	[MOVING]	m uw v ix ng
MOW	[MOW]	m ow
MOWED	[MOWED]	m ow d
MOWER	[MOWER]	m ow er
MOWING	[MOWING]	m aw ix ng
MOWNY	[MOWNY]	m aw n iy
MR	[MR]	m ih s t er
MRS	[MRS]	m ih s ix z
MS	[MS]	m ih z
MUCH	[MUCH]	m ah ch
MUD	[MUD]	m ah d
MUDD	[MUDD]	m ah d
MUDDLE	[MUDDLE]	m ah dx ax l
MUDDY	[MUDDY]	m ah dx iy
MUFFIN	[MUFFIN]	m ah f ax n
MUFFINS	[MUFFINS]	m ah f ax n z
MUFFS	[MUFFS]	m ah f s
MUG	[MUG]	m ah g
MULBERRY	[MULBERRY]	m ah l b eh r iy
MULCH	[MULCH]	m ah l ch
MULE	[MULE]	m y uw l
MULL	[MULL]	m ah l
MULTIGRAIN	[MULTIGRAIN]	m ah l t iy g r ey n
MUM	[MUM]	m ah m
MUMANA	[MUMANA]	m y uw m ax n aa
MUMBLING	[MUMBLING]	m ah m b ax l ix ng
MUMMER	[MUMMER]	m ah m er
MUMMY	[MUMMY]	m ah m iy
MUMMY'S	[MUMMY'S]	m ah m iy z
MUMPS	[MUMPS]	m ah m p s
MUMS	[MUMS]	m ah m z
MUNCH	[MUNCH]	m ah n ch
MUNCHES	[MUNCHES]	m ah n ch eh s
MUNCHING	[MUNCHING]	m ah n ch ix ng
MUNGA	[MUNGA]	m ah n g aa
MUNGANI	[MUNGANI]	m ah ng g ax n iy
MUNGU	[MUNGU]	m ah n g uw
MURPHY	[MURPHY]	m er f iy
MURPHY'S	[MURPHY'S]	m er f iy z
MUSCLE	[MUSCLE]	m ah s ax l
MUSCLES	[MUSCLES]	m ah s ax l z
MUSEUM	[MUSEUM]	m y uw z iy ax m
MUSEUMS	[MUSEUMS]	m y uw z iy ax m z
MUSH	[MUSH]	m ah sh
MUSHED	[MUSHED]	m ah sh d
MUSHROOM	[MUSHROOM]	m ah sh r uw m
MUSHROOMS	[MUSHROOMS]	m ah sh r uw m z
MUSHY	[MUSHY]	m ah sh iy
MUSIC	[MUSIC]	m y uw z ix k
MUSIC'S	[MUSIC'S]	m y uw z ix k s
MUSICAL	[MUSICAL]	m y uw z ix k ax l
MUSK	[MUSK]	m ah s k
MUSKETEER	[MUSKETEER]	m ah s k ax t iy r
MUST	[MUST]	m ah s t
MUST'VE	[MUST'VE]	m ah s t ix v
MUSTACHE	[MUSTACHE]	m ah s t ae sh
MUSTARD	[MUSTARD]	m ah s t er d
MUTTERED	[MUTTERED]	m ah dx er d
MUTTS	[MUTTS]	m ah t s
MUZZLE	[MUZZLE]	m ah z ax l
MUZZLES	[MUZZLES]	m ah z ax l z
MY	[MY]	m ay
MYGOODNESS	[MYGOODNESS]	m ay g uh d n ax s
MYRTLE	[MYRTLE]	m er dx ax l
MYSELF	[MYSELF]	m ay s eh l f
MYSTERY	[MYSTERY]	m ih s t er iy
N	[N]	ax n
N'S	[N'S]	eh n z
NA	[NA]	n aa
NAA	[NAA]	n ae
NACHOS	[NACHOS]	n aa ch ow z
NAI	[NAI]	n ay
NAIL	[NAIL]	n ey l
NAILS	[NAILS]	n ey l z
NAIMA	[NAIMA]	n ay iy m ax
NAIMA'S	[NAIMA'S]	n ay ix m ah z
NAIMA_A	[NAIMA_A]	n iy m ax
NAIMA_B	[NAIMA_B]	n ay n ay
NAINAI'S	[NAINAI'S]	n ay n ay z
NAI_NAI	[NAI_NAI]	n ay n ay
NAKED	[NAKED]	n ey k ax d
NAME	[NAME]	n ey m
NAMED	[NAMED]	n ey m d
NAMEO	[NAMEO]	n ey m iy y ow
NAMES	[NAMES]	n ey m z
NAMING	[NAMING]	n ey m ix ng
NAN	[NAN]	n ae n
NANA	[NANA]	n ae n ax
NANCY	[NANCY]	n ae n s iy
NANNY	[NANNY]	n ae n iy
NANTUCKET	[NANTUCKET]	n ae n t ah k ix t
NAP	[NAP]	n ae p
NAPKIN	[NAPKIN]	n ae p k ix n
NAPKINS	[NAPKINS]	n ae p k ix n z
NAPPED	[NAPPED]	n ae p t
NAPPING	[NAPPING]	n ae p ix ng
NAPPY	[NAPPY]	n ae p iy
NAPS	[NAPS]	n ae p s
NAPTIME	[NAPTIME]	n ae p t ay m
NARROW	[NARROW]	n eh r ow
NARWALL	[NARWALL]	n aa r w ao l
NARWHAL	[NARWHAL]	n aa r w ao l
NARWHALS	[NARWHALS]	n aa r w ao l z
NASH	[NASH]	n ae sh
NASTURTIUM	[NASTURTIUM]	n uh s t er sh ax m
NASTY	[NASTY]	n ae s t iy
NATASHA	[NATASHA]	n ax t aa sh ax
NATE	[NATE]	n ey t
NATION	[NATION]	n ey sh ax n
NATIVITY	[NATIVITY]	n ax t ih v ax dx iy
NATURAL	[NATURAL]	n ae ch er ax l
NATURE	[NATURE]	n ey ch er
NAUGHTY	[NAUGHTY]	n ao dx iy
NAVY	[NAVY]	n ey v iy
NAW	[NAW]	n aa
NAY	[NAY]	n ey
NEAR	[NEAR]	n ih r
NEAT	[NEAT]	n iy t
NEATER	[NEATER]	n iy dx er
NEATO	[NEATO]	n iy d ow
NECESSARILY	[NECESSARILY]	n eh s ax s eh r ax l iy
NECK	[NECK]	n eh k
NECKLACE	[NECKLACE]	n eh k l ax s
NECKTIE	[NECKTIE]	n eh k t ay
NECKTIES	[NECKTIES]	n eh k t ay z
NECTAR	[NECTAR]	n eh k t er
NEE	[NEE]	n iy
NEED	[NEED]	n iy d
NEEDED	[NEEDED]	n iy dx ax d
NEEDING	[NEEDING]	n iy dx ix ng
NEEDS	[NEEDS]	n iy d z
NEEK	[NEEK]	n iy k
NEENEE	[NEENEE]	n iy n iy
NEGROS	[NEGROS]	n iy g r ow z
NEICE	[NEICE]	n iy s
NEIGH	[NEIGH]	n ay
NEIGHBOR	[NEIGHBOR]	n ey b er
NEIGHBOR'S	[NEIGHBOR'S]	n ey b er z
NEIGHBORHOOD	[NEIGHBORHOOD]	n ey b er hh uh d
NEIGHBORS	[NEIGHBORS]	n ey b er z
NEITHER	[NEITHER]	n iy dh er
NELLY	[NELLY]	n eh l iy
NENI	[NENI]	n eh n iy
NEPHEW	[NEPHEW]	n eh f y uw
NEPHEW'S	[NEPHEW'S]	n eh f y uw z
NERVOUS	[NERVOUS]	n er v ax s
NEST	[NEST]	n eh s t
NESTS	[NESTS]	n eh s t s
NET	[NET]	n eh t
NETS	[NETS]	n eh t s
NETWINGS	[NETWINGS]	n eh t w ih ng z
NEVER	[NEVER]	n eh v er
NEVERMIND	[NEVERMIND]	n eh v er m ay n d
NEW	[NEW]	n uw
NEWBORN	[NEWBORN]	n uw b ao r n
NEWS	[NEWS]	n uw z
NEWSCASTERS	[NEWSCASTERS]	n uw z k ae s t er z
NEWSPAPER	[NEWSPAPER]	n uw z p ey p er
NEWSPAPERS	[NEWSPAPERS]	n uw z p ey p er z
NEWT	[NEWT]	n uw t
NEXT	[NEXT]	n eh k s t
NIAGARA	[NIAGARA]	n ay ae g r ax
NIBBLE	[NIBBLE]	n ih b ax l
NIBBLED	[NIBBLED]	n ih b ax l d
NIBBLES	[NIBBLES]	n ih b ax l z
