_d5206 		some recording now . 
_d5249 		what ? 
_d5249 		it's pine+nuts ? 
_d5249 		but pine+nuts are long and very white and these have brown parts . 
_d5249 		and (.) that tastes like almonds . 
_d5249 		gasala ? 
_d5249 		what's gasala I've never heard of that . 
_d5249 		is that a new food that you're making up ? 
_d5249 		oh , gasala . 
_d5249 		hmmm . 
_d5249 		what does gasala taste like ? 
_d5249 		it tastes like gasala ,  . 
_d5249 		oh . 
_d5249 		it's gas ? 
_d5249 		yuck . 
_d5249 		gas isn't something you eat . 
_d5249 		are you okay ? 
_d5249 		got some nuts in your throat ? 
_d5249 		mmmm+hmmm , some gasala in your throat ? 
_d5249 		hmmm .
_d5249 		gasala .
_d5249 		gasala: . 
_d5249 		very funny .
_d5249 		very funny . 
_d5249 		xxx a good joke . 
_d5249 		gasala . 
_d5249 		gasoline . 
_d5249 		what's gasoline for Naima ? 
_d5249 		for Mister Frumble , does he get gasoline ? 
_d5249 		oh really ? 
_d5249 		she does cut his tie by accident , that's right . 
_d5249 		I think because he's ,  you mean , does he do that when he's shaving , no that's when he's getting a haircut isn't it . 
_d5249 		I think the barber cuts his tie by accident . 
_d5249 		oh because Mister Frumble is ,  , moving around too much , when you get your hair cut you're not supposed to move around too much . 
_d5250 		you singing a Mommy song ? 
_d5250 		what ? 
_d5250 		the mommy thought it was all good fun . 
_d5250 		pop goes the nursie .
_d5250 		that sounds very silly: . 
_d5250 		that's a good , wait a second . 
_d5250 		all around the mulberry bush . 
_d5250 		the +...
_d5250 		foxes chase the +... 
_d5250 		elephants . 
_d5250 		I'm making up words . 
_d5250 		the elephants thought it was all good fun , stop go the elephants . 
_d5250 		all around the kitchen floor . 
_d5250 		the mommy chased Naima . 
_d5250 		Naima thought it was all good fun . 
_d5250 		jump goes Naima . 
_d5250 		what the crackers , are you finished eating it kinda [: kind of] looks that way . 
_d5251 		I didn't hear any rawring . 
_d5251 		oh , okay , yes now I hear it . 
_d5251 		mmmm I do hear the roaring now .
_d5251 		whoa I definitely hear some rawring now . 
_d5251 		she is . 
_d5251 		I heard a rawring noise . 
_d5251 		sounded like my bear , rawring . 
_d5251 		well bears don't eat gasoline for one thing .
_d5252 		nobody eats gasoline except cars ! 
_d5252 		cars use gasoline . 
_d5252 		they use it (.) to go , they burn it up in order to go . 
_d5252 		ooh , that's a rawring bear . 
_d5252 		ra:wr .
_d5252 		ra:wr . 
_d5252 		really ? 
_d5252 		bears do like bear+food though Naima . 
_d5252 		bears definitely like bear food . 
_d5253 		oh . 
_d5253 		why is the baby crying ? 
_d5253 		is it cause [: because] she's done ? 
_d5253 		does she need to get out ? 
_d5253 		I will help the baby get out . 
_d5253 		by herself ? 
_d5253 		what does that mean , by herself . 
_d5253 		means she wants to (.) come out and be by herself ? 
_d5253 		okay .
_d5253 		oh she wants to come out all by herself ,  . 
_d5253 		okay . 
_d5253 		oh that baby's really crying there . 
_d5253 		I guess I'd better help that baby get , get the high+chair off . 
_d5253 		oh , okay , when she gets down , I see . 
_d5253 		oh , okay . 
_d5253 		the baby . 
_d5253 		oh , what happened to the toddler though , where did the toddler go ? 
_d5253 		I guess so , yeah .
_d5253 		where's the toddler , is there a toddler over here somewhere ? 
_d5253 		there she i:s ! 
_d5253 		oh that's the baby ,  , okay . 
_d5253 		the  +//.
_d5253 		where's the toddler ? 
_d5253 		hmmm , where do you think the toddler could be hiding ? 
_d5253 		oh , that fence outside ?
_d5253 		oh .
_d5253 		oh with bare feet , yep [: yes] that's right . 
_d5253 		oh .
_d5253 		she wants to put shoes on her bare feet ?
_d5253 		yeah , you know what Naima , where are your sandals , I've been wondering . 
_d5253 		I'm gonna look +... 
_d5253 		have you seen your sandals anywhere ? 
_d5253 		so actually +...
_d5253 		she wants to come out when she cries ? 
_d5253 		what is this here ?
_d5253 		this looks like melted bear food .
_d5253 		xxx . 
_d5253 		I don't know .
_d5253 		cause [: because] your , cause [: because] your legs are hot I guess . 
_d5253 		yeah , melted bear food .
_d5254 		the bear said  ? 
_d5254 		you know , you didn't really have very much breakfast here , I'm  , I'm noticing . 
_d5254 		you're gonna have_to snack a little later I think .
_d5254 		cause [: because] you didn't eat very much breakfast here . 
_d5254 		well , we'll see about that . 
_d5254 		oh okay I was gonna wash off the bottle cause [: because] it had a lot of food on the outside of it . 
_d5254 		from your hands .
_d5254 		so let me +//.
_d5254 		lemme [: let me] just wash it off .
_d5255 		okay baby . 
_d5255 		you need yourself ? 
_d5255 		oh , okay . 
_d5255 		kay [: okay] . 
_d5255 		okay .
_d5255 		hold on . 
_d5255 		okay . 
_d5255 		oh , the baby's crying again . 
_d5255 		oh what a crying baby I have here . 
_d5255 		oh+my+goodness . 
_d5255 		it's a crying baby . 
_d5255 		oh dear . 
_d5255 		you want yourself ? 
_d5255 		yeah , why don't you stay there . 
_d5255 		what's a mina Mommy ? 
_d5255 		minimum Mommy ? 
_d5255 		am I a minimum Mommy ? 
_d5255 		wha:t ? 
_d5255 		all+right , let's see . 
_d5255 		twenty four minutes , I guess that's better than nothing , for now . 
_d5255 		xxx . 
_d5255 		sorry  . 
_d5255 		xxx as close to  as possible . 
_d5255 		oh , koala came down . 
_d5255 		what is koala wearing ? 
_d5255 		what are you trying to do ? 
_d5255 		you're going down the slide ? 
_d5255 		is koala watching ? 
_d5255 		do you want koala to watch ? 
_d5255 		you go down the slide ? 
_d5255 		you're having fun . 
_d5256 		what are those Naima ? 
_d5256 		what are they ? 
_d5256 		you're gonna make a pile ? 
_d5256 		are you gonna make a pass ? 
_d5256 		what do you mean , like a pass that when you go to a movie , or a ,  , not a movie but a ,  , the zoo ? 
_d5256 		what do you mean by pass ? 
_d5256 		oh a path , is that (.) what you mean , a path ? 
_d5256 		o:h . 
_d5256 		is somebody gonna walk on the path ? 
_d5256 		oh they look like stepping stones . 
_d5256 		all+right who's gonna walk on the path ? 
_d5256 		you ?
_d5256 		oh , Naima is . 
_d5256 		xxx . 
_d5256 		a:ll over the path . 
_d5256 		step by step , a step by step . 
_d5256 		a path . 
_d5256 		why ? 
_d5256 		Naima .
_d5256 		so you can step on it . 
_d5256 		is that sort of like you do on your balance beam ? 
_d5256 		yeah . 
_d5256 		the fish are all wrinkled ? 
_d5256 		what is the name of this one ? 
_d5256 		who's that ?
_d5256 		baby Kate ? 
_d5256 		oh .
_d5256 		take off the undershirt ? 
_d5256 		oh ? 
_d5256 		yeah , well you got it off . 
_d5256 		her hands stick together . 
_d5257 		oh , there , your dolly , your dolly's right over there with her yellow dress . 
_d5257 		you can take it off the dolly ? 
_d5257 		and put it on her . 
_d5257 		okay . 
_d5257 		she's gonna be all dressed up . 
_d5257 		she's gonna nurse ? 
_d5257 		mmmm (o)kay . 
_d5257 		with mommy koala . 
_d5257 		she's gonna eat eucalyptus ,  . 
_d5257 		mmmm+hmmm . 
_d5257 		did you see a koala at the zoo ? 
_d5257 		was there just one or was there a mommy and a baby ? 
_d5257 		there , baby koala's [: koala is] all dressed now . 
_d5257 		she's nursing ? 
_d5257 		oh the dress is affected by the humidity . 
_d5257 		just like your door stuck shut because it was affected by the humidity .
_d5258 		why ? 
_d5258 		because there's moisture . 
_d5258 		there's water in the air .
_d5258 		yeah .
_d5258 		water and moisture . 
_d5258 		in the air and it swells things up . 
_d5258 		so that's why it sticks . 
_d5258 		cause [: because] it made your door a little bit bigger . 
_d5258 		and that's why it was sticking .
_d5258 		to the movie . 
_d5258 		I don't think both of them will fit if you put them laying down . 
_d5258 		what , what does he need ?
_d5258 		which blanket you gonna put in ? 
_d5258 		what do ya want ? 
_d5258 		you want it to hang ? 
_d5258 		how bout [: about] something like this ? 
_d5258 		is that better ? 
_d5258 		Sleepy Bear's gonna go in the (.) stroller . 
_d5258 		yeah , if you put all four wheels down it'll be easier to push . 
_d5258 		Naima . 
_d5258 		do you wanna put koala on the bottom ? 
_d5258 		you could put koala (.) on the bottom , or grizzly on the bottom . 
_d5258 		of your (.) stroller .
_d5258 		he might fit . 
_d5258 		he doesn't fit ? 
_d5258 		he's a little bit too big . 
_d5258 		yeah , his head is affected by the humidity . 
_d5258 		xxx .
_d5258 		yeah , Koala might fit . 
_d5258 		yeah , Koala does fit , maybe Baby Koala can fit on top of (.) Mama Koala . 
_d5258 		yes , where are you gonna take them ? 
_d5259 		yeah Koala (.) fits . 
_d5259 		the  +... 
_d5259 		grizzly would fit in the top . 
_d5259 		but then you'd have_to take Sleepy Bear out . 
_d5259 		well they might both fit , do you think both of them would fit in the top ?
_d5259 		you gonna try and see if they both fit in the top of the carriage ? 
_d5259 		think he's losing his shirt . 
_d5259 		there , it rolls , if you keep all four wheels down it'll roll easier . 
_d5259 		where do you want Griz to go ? 
_d5259 		you want me , Griz to stay with me ? 
_d5259 		I'll stay with Griz . 
_d5259 		you wanna bring Griz's shirt over ? 
_d5259 		yeah . 
_d5259 		I will , I'll put it on . 
_d5259 		you want it on you ?
_d5259 		do you want the shirt on you ? 
_d5259 		you want it ? 
_d5259 		all+right , we'll put your shirt on . 
_d5259 		Naima bear needs a shirt . 
_d5259 		are you cold ,  well I don't want you to be cold . 
_d5259 		I want you to be warm . 
_d5259 		and cozy , I want you to be cozy .
_d5259 		now you got a shirt on .
_d5259 		I can put the undershirt (.) on (.) grizzly bear . 
_d5259 		yeah but now , grizzly bear can wear it . 
_d5259 		okay , it's a little bit big .
_d5259 		su:pper .
_d5259 		oh . 
_d5259 		ti:me .
_d5259 		can you put everything in the bag so that you can get it out of the way for supper ? 
_d5259 		xxx are we done ? 
_d5259 		oh . 
_d5259 		uh , I guess since she went  that far away , yeah . 
_d5259 		take it off and ,  just turn it to the off position . 
_d5259 		uh , the transmitter . 
