_d4491 		oh there's that siren noise . 
_d4535  not friends not yet anyway no you're putting one in  . 
_d4535 		is she hiding in there ? 
_d4535 		she's trying to hide ? 
_d4535 		where did Sally go ? 
_d4535 		I think Sally is hiding in Mommy's bag Sally come back here there she is . 
_d4536 		where did she go did she go in the hat ? 
_d4536 		I don't know did she go in your hat ? 
_d4536 		where . 
_d4536 		there she is there she is . 
_d4536 		is she gonna hide again ? 
_d4536 		where did she go ?
_d4536 		I don't know where did she go ? 
_d4536 		where did that Sally Lally go ? 
_d4536 		where did Sally go ? 
_d4536 		I don't know where did she go ? 
_d4536 		I don't know . 
_d4536 		where did she ?
_d4536 		there she is . 
_d4536 		I see her .
_d4536 		where did she go where that Sally Lally girl go ? 
_d4536 		there she is . 
_d4536 		I have_to find her .
_d4536 		oh okay where is she ? 
_d4536 		ah there she is I found her . 
_d4536 		ah I have her now you wanna come get her ? 
_d4536 		I'm just trying to get few things done while we play . 
_d4536 		where's Sally Lally  . 
_d4536 		ah .
_d4536 ha  she was in my shirt she was hiding in my shirt I'm ganna [: going to] go here 
_d4536  steal some cardboard looks like Daddy pulled that cardboard already        I just steal something here all+right we're done in the closet right now . 
_d4536 		okay here is the hat . 
_d4536 		Sally Lally now Mommy needs her . 
_d4536 		scissors . 
_d4536 		what what happen . 
_d4536 		she can go in she can go in can't she , you're having trouble putting her in , how about I hold that open for you .
_d4536 		there .
_d4537 		where did she go ? 
_d4537 		is she in your hat ? 
_d4537 		oh my gush . 
_d4537 		I don't know for sure where do you think she went . 
_d4537 		oh there she is . 
_d4537 		she must have gone to the tire store to buy some new tires don't you think . 
_d4537 		I'm not sure . 
_d4537 		ah there she is .
_d4537 		where did the other friends go where did all your other friends go . 
_d4537 		where did Sally go  is someone else in there too ? 
_d4537 		who else is in there  that's Sally  just Sally in there . 
_d4538 		okay keep it open while I'm putting her in okay we keep that open there . 
_d4538 		oh where's Asha where is she ? 
_d4538 		where did Asha basha go ? 
_d4538 		open for Lucy . 
_d4538 		are you gonna put Lucy in there now ?
_d4538 		every body's +//.
_d4538 		every body is getting a turn going in the hat . 
_d4539 		I'm not sure where did Sally go . 
_d4539 		did she hide somewhere ? 
_d4539 		where there she is . 
_d4539 		xxx .
_d4539 		excuse me     . 
_d4539 		I'm not so sure . 
_d4539 		I'm not so sure where Sally went . 
_d4539 		did she hide somewhere ? 
_d4539 		she was in the hat  my gosh . 
_d4539 		taking turns  who's turn is it next ? 
_d4539 		oh is her turn next ah: . 
_d4539 		where's Asha Basha ? 
_d4539 		okay I'm opening the hat for you . 
_d4539 I don't know where did Asha Basha go 
_d4539    where did that Asha Basha girl go did she go hiding did she go to the hospital to have lunch with Daddy or something is that what happen she might have done that . 
_d4539 		oh she was in the hat   I see she was in the hat all along . 
_d4539 		let's see attention . 
_d4540 		where did Sally go ? 
_d4540 		did she go in the hat ? 
_d4540 		oh there she is . 
_d4540 		back where they belong . 
_d4540 		let's take them into the living room . 
_d4540 		well lose them there you wanna lose those I have_to make my antenna . 
_d4540 		is it difficult to do that ? 
_d4540 		I'd like to go back into the living room I think +//.
_d4540 		would you like to come with me ? 
_d4540 		oh you're putting legos away okay . 
_d4540 		how about if I carry the base plate and you carry the friends with the school bus ? 
_d4540 		and I'll carry the sock you took off and I'll carry the legos . 
_d4540 		why don't you bring your friends ? 
_d4540 		hey what's Liza doing there ?
_d4540 		what is Liza doing there ? 
_d4540 		she's on the slide . 
_d4540 		what's she doing on the slide ? 
_d4540 		Liza what're you doing on the slide ? 
_d4540 		what would you like me to read to you ?
_d4541 		okay . 
_d4541 		you gonna read the baby book . 
_d4541 		good idea . 
_d4541 		let me just throw this away . 
_d4541 		and blow my nose . 
_d4541 		and gonna read the baby book to you . 
_d4541 		which baby baby bad what's the story ? 
_d4541 		what's that story ? 
_d4541 		what's the what's Kim doing in that picture ? 
_d4541 		oh she's carefully cutting the cookies of cookie cutter . 
_d4541 		let's look at that . 
_d4541 		let see .
_d4541 		have a seat have a seat .
_d4541 		Kim carefully cuts out heart shapes with a special cookie cutter . 
_d4541 		that's the cookie cutter right there . 
_d4541 		what's Daddy have ? 
_d4541 		yes some cookies I think he's going to put them in the oven . 
_d4541 		to cook them in the oven . 
_d4541 		after the cookies are baked that means cooking something in the oven you bake it Kim puts them in the cookie jar . 
_d4541 		which has cherries on it . 
_d4541 		what is carrot wearing on her head ? 
_d4541 		funny hat . 
_d4541 		what a lovely present for ? 
_d4541 		yeah . 
_d4541 		what's happening in this picture ? 
_d4541 		she has a comb on ? 
_d4541 		that's a baker's hat that's a baker yeah . 
_d4541 		bakers wear special hats they look like that . 
_d4541 		yah the bear is wearing the baker's hat . 
_d4541 		that bear is pretending to be a baker . 
_d4541 		where's the windmill ? 
_d4541 		yeah . 
_d4541 		it's pink yeah . 
_d4541 		the bear's needed . 
_d4541 		yep [: yes] . 
_d4541 		oh I had a cracker it was brown . 
_d4541 		I had a cracker it's . 
_d4541 		fell down . 
_d4541 		I looked under table and . 
_d4541 		next to my . 
_d4541 		that's when I saw puppy with a +//. 
_d4541 		brown cracker nose . 
_d4541 		the puppy is eating the cracker . 
_d4541 		the little girl was giving the cracker to the dog ? 
_d4541 		I think what happen was she dropped it by accident it fell down while she was eating it . 
_d4541 		and the poppy came along and ate it after she dropped it . 
_d4541 		hungry poppy . 
_d4541 		mmmm what's this what's happening in this picture ? 
_d4541 		yeah there're mice here . 
_d4541 		xxx lot's of them . 
_d4541 		we skipped one here . 
_d4541 		and what's the mouse doing here ? 
_d4541 		what're they doing ? 
_d4541 		yes those mice are carrying a big pineapple . 
_d4541 		and what's that mouse doing ? 
_d4541 		yeah . 
_d4541 		that mouse is carrying a strawberry . 
_d4542 		this is the one about the grandma . 
_d4542 		I love to look in my picture book there is so much to see I climb up on my grandma's lap so she can do what . 
_d4542 		yeah read to me . 
_d4542 		I brush brush brush my teeth I brush them left to right I brush them up and down to keep them clean and blue ? 
_d4542 		xxx .
_d4542 		that's the grandma one again . 
_d4542 		let me see if I can put antenna in this hair band . 
_d4542 		okay . 
_d4542 		brushing teeth ? 
_d4542 		okay here's Mommy's antenna what do you think Naima look at Mommy . 
_d4542 		antenna so I can be a bee . 
_d4542 		might be bee . 
_d4542 		you have this bee has a snarl in her hair . 
_d4542 		oh we have_to go to the library soon . 
_d4542 		yeah we can look for the bear book there which bear would you like to get ? 
_d4542 		yeah which bear book ? 
_d4542 		what's it called ? 
_d4542 		yes the bear family we'll look for that . 
_d4542 		I think that's that the last page you got it . 
_d4542 		oh this microphone was buried  dear I hope that hasn't been a problem for very long . 
_d4542 		let's put on you other sock . 
_d4542 		what're you squeezin(g) ? 
_d4542 		the book . 
_d4542 		I don't think there's koala in that baby book . 
_d4542 		is there ? 
_d4542 		oh let's look . 
_d4542 		let see . 
_d4542 		have a seat have a seat . 
_d4542 		Daddy says that . 
_d4542 		yes the daddies on the bus say have a seat you think there's a koala bear in here  ? 
_d4542 		oh that's a panda I think .
_d4542 		isn't that a panda ? 
_d4542 		Kim has a shopping cart and a purse with a pretending money in it . 
_d4542 		she buys Kim ? 
_d4542 		Kim's going to buy something . 
_d4542 		Kim and carrots are making store . 
_d4542 		the Kim and carrots store has toys cookies and fruit for sale . 
_d4542 		hmmm what she got there ? 
_d4542 		box of cookies . 
_d4542 		where's the money you see the money ? 
_d4542 		I think that's suppose to be the money . 
_d4542 		Mommy visits the store and buys two oranges . 
_d4542 		she's buying them from Kim . 
_d4542 		Kim is pretending to be the woman behind the counter that we buy things from at the store . 
_d4542 		now is Kim's turn to go shopping . 
_d4542 		yep [: yes] Kim buys a bear and an apple . 
_d4542 		thank you very much carrots . 
_d4542 		what kind of a bear did she buy ? 
_d4542 		yeah .
_d4542 		is there koala in here somewhere else I just wanna look . 
_d4542 		there's some mice there's a boy in the rain there's a truck I don't see any koalas  but I see a baby . 
_d4542 		what's that ? 
_d4542 		remember what that is ? 
_d4542 		otter . 
_d4542 		baby otter sleeps in water . 
_d4542 		yeah . 
_d4542 		okay I'm gonna read the whole thing . 
_d4542 		you skipped to the end I'm gonna start from the beginning . 
_d4542 		baby utter sleeps in water mother sleeps with baby utter side by side they stay mother wraps her baby utter ties the see weed round her daughter so she wouldn't float away . 
_d4542 		xxx . 
_d4542 		let see what else . 
_d4542 		what's happening in this picture ? 
_d4542 		eenie meenie minie mo eenie meenie meenie mo . 
_d4542 		eenie meenie minie eenie meenie . 
_d4542 		count the +//. 
_d4542 		count the shoppers as they go . 
_d4542 		some have +//. 
_d4542 		some have none . 
_d4542 		the baby doesn't have a basket . 
_d4542 		count the shoppers one by . 
_d4542 		yeah . 
_d4542 		okay . 
_d4542 		there's Kim what's she doing ? 
_d4542 		buying a bear . 
_d4542 		where's she putting the bear ? 
_d4542 		where's she putting the bear in this picture ? 
_d4542 		what's that ? 
_d4542 		what's that called ? 
_d4542 		you ride in that sometimes at the store . 
_d4542 		this is a wagon or a cart . 
_d4542 		we call it a wagon sometimes and some people call it a cart . 
_d4542 		where you put the things you buy at the store . 
_d4542 		where's carrots ? 
_d4542 		yeah .
_d4542 		hi carrots . 
_d4542 		carrots is selling the bear to Kim . 
_d4542 		I think there are lots_of legos here .
_d4542 		you wanna put them away or you wanna build something ? 
_d4542 		what're we gonna build ? 
_d4542 		okay .
_d4542 		xxx Kim keeps quiet and +//. 
_d4542 		right still there's a pretty what ? 
_d4542 		bird in the +//? 
_d4542 		yeah . 
_d4542 		the bird pulls a warm from the earth . 
_d4542 		what a funny breakfast . 
_d4542 		the bird flies to her ? 
_d4542 		what ?
_d4542 		yes nest . 
_d4542 		what's that ? 
_d4542 		what's that ? 
_d4542 		that's a bird where's the bird going to go ? 
_d4542 		is flying away is flying to her nest . 
_d4542 		looks like the bird is carrying the worm . 
_d4542 		do you know how to tweet ? 
_d4542 		tweet tweet tweet . 
_d4542 		Kim and carrots build the bird feeder with seeds . 
_d4542 		Daddy brings water for the bird bath . 
_d4542 		watch out carrots . 
_d4542 		watch out carrots . 
_d4542 		now all the birds love to visit . 
_d4542 		what's she carrying ? 
_d4542 		she's carrying dirt uh+huh . 
_d4542 		what's the Daddy using ? 
_d4542 		the wheelbarrow right . 
_d4542 		yeah where's the bird bath ? 
_d4542 		yeah .
_d4542 		carrots is in the bird bath  no she's going to get wet . 
_d4542 		Kim is taking carrots out of the bird bath I think . 
_d4542 		yeah birds go in there . 
_d4542 		not carrots . 
_d4542 		Kim doesn't belong in there .
_d4542 		carrots climbed in there ? 
_d4542 		yeah carrots went in there but carrots doesn't belong in the bird bath . 
_d4542 		yeah . 
_d4542 		Kim goes in the bird bath ? 
_d4542 		she'll get wet if she goes in the bird bath . 
_d4542 		no . 
_d4542 		we won't lose them . 
_d4542 		we're just putting them aside . 
_d4542 		we have_to go in a little bit and we have_to call  on the phone . 
_d4542 		and we have .
_d4542 		who ? 
_d4542 		Mommy called who ? 
_d4542 		I'm going to call  . 
_d4542 		xxx who lives at the old house . 
_d4542 		where remember where she lives at the old house ? 
_d4542 		well over the garage not actually in the garage although we saw her in the garage a lot because that's where she put her car . 
_d4542 		she lives on top of the garage . 
_d4542 		near the roof right . 
_d4542 		roof in it  . 
_d4542 		are you sitting in the legos house ? 
_d4542 		ha   . 
_d4542 		oh you wanna make stairs okay . 
_d4542 		are we gonna return any books to the library ? 
_d4542 		yeah I'll get that little later okay . 
_d4542 		that's where chica chica boom boom is I'll get later . 
_d4542 		oh yes we were gonna make stairs wouldn't we ? 
_d4542 		I think we need more legos to do that properly . 
_d4542 		oh lots_of legos right there . 
_d4542 		some legos fall down . 
_d4542 		oh that's the top to the letter  and there's letter too I see a letter . 
_d4542 		how about if we make some really big stairs . 
_d4542 		what ? 
_d4542 		what's in those ? 
_d4542 		what's in what ? 
_d4542 		what tend those . 
_d4542 		oh return those in the library . 
_d4542 		yes we're talking about returning books to the library . 
_d4542 		well the baby bugs belong to us . 
_d4542 		we didn't get those at the library . 
_d4542 		yeah we read those this morning didn't we . 
_d4542 		you wanna read them again . 
_d4542 		I thought you wanted to build some stairs .
_d4542 		what ? 
_d4542 		what ? 
_d4542 		what belongs to Naima ? 
_d4542 		the bee costume ? 
_d4542 		oh the letter B you have a letter B in your hand . 
_d4542 		you gonna put the top on so you don't lose it . 
_d4542 		okay I put it on for you but there's one letter here okay . 
_d4542 		makes a good drum too  . 
_d4542 		well we'll put Liza on a little later okay . 
_d4542 		oops oops oops oops oops . 
_d4542 		you stepped on the letters ? 
_d4542 		your knee was behind the letters yeah . 
_d4542 		okay . 
_d4542 		you wanna practice having that accident again . 
_d4542 		I thought I would make some really really big stairs here . 
_d4542 		oh I just thought of a phone call I really need to make . 
_d4542 		xxx   also I have_to call  too . 
_d4542 		in fact I have_to call  soon . 
_d4542 		I think I will go get the phone out of Mommy and Daddy's room and bring it in here so I can make a couple of phone calls . 
_d4542 		you don't like my stairs ? 
_d4542 		these are the stairs see . 
_d4542 		big stairs big flat stairs . 
_d4542 		yeah you're helping me thank you . 
_d4542 		yeah big stairs . 
_d4542 		Naima's building stairs yeah . 
_d4542 		good job . 
_d4542 		oops sorry  . 
_d4542 		there's another stair . 
_d4542 		for your friends  where did we leave where did all those friends go anyway . 
_d4542 		where did those friends go ? 
_d4542 		I see one where's every body else ? 
_d4542 		are they in your room ? 
_d4542 		yeah she's gonna climb up there I think . 
_d4542 		you look like you have a very runny nose . 
_d4542 		Naima let's blow your nose now . 
_d4542 		yes . 
_d4542 		yes yes yes yes . 
_d4542 		yes yes yes yes . 
_d4542 		you gonna run away again . 
_d4542 		oh+my+goodness . 
_d4542 		attack of a tissue attack of a tissue for the baby girl . 
_d4542 		miss runny nosed bee . 
_d4542 		are you a runny nosed bee ? 
_d4542 		yes . 
_d4542 		yes yes yes . 
_d4542 		wow wow wow wow wow . 
_d4542 		alright let see here . 
_d4542 		oops okay so much for that . 
_d4542 		take it off she says .
_d4542 		today is still October thirty+first Halloween and Naima is sorting containers in the kitchen with Mommy . 
_d4542 		ya:y . 
_d4542 		you have a lot of little boxes and things there don't you . 
_d4542 		who sings goodbye ? 
_d4542 		little girl sings that on that cd right . 
_d4542 		let's put some light on in here . 
_d4542 		turning on a light turning on a light . 
_d4542 		Mommy is making tea . 
_d4542 		what what do you need help with ? 
_d4542 		did you need something ? 
_d4542 		what do you need me to open ? 
_d4542 		oh that door okay . 
_d4542 		is that the bag of what's in that  rice cakes . 
_d4542 		oh and a little cup . 
_d4542 		just for you . 
_d4542 		what ? 
_d4542 		oh would you like to draw sure . 
_d4542 		let's get the crayons . 
_d4542 		I will find them for you . 
_d4542 		actually what we really need the crayons are there on the table we need to go get the paper for Naima to draw on and bring it in the kitchen . 
_d4542 		the big paper +//. 
_d4542 		I think the big paper is over here . 
_d4542 		mmmm+hmmm big paper . 
_d4542 		okay let see here is the paper . 
_d4542 		and now we need the crayons +//. 
_d4542 		okay . 
_d4542 		here is yellow and brown and +//. 
_d4542 		oh you have some orange paper there but +//.
_d4542 		I find orange crayon here . 
_d4542 		how's that ? 
_d4542 		it lost it's paper yeah . 
_d4542 		it lost it's paper but still you can still use it . 
_d4542 		it's still good to draw with . 
_d4542 		blue here's blue here's black . 
_d4542 		here you go . 
_d4542 		how's that ? 
_d4542 		are you drawing a letter i ? 
_d4542 		yeah I see a black i you made right there . 
_d4542 		that's great . 
_d4542 		can you make some t's or some l's ? 
_d4542 		you wanna see what l looks like ?
_d4542 		whoa I like those i's though . 
_d4542 		those are big black i's . 
_d4542 		well we don't have_to many more here's a red one I guess . 
_d4542 		I'm peeling the paper off it here . 
_d4542 		you want some of the finger crayons ? 
_d4542 		I have those finger crayons here . 
_d4542 		here's a pink one .
_d4542 		here's a blue one . 
_d4542 		look at all the colors you have . 
_d4542 		you have lots_of colors now . 
_d4542 		well I don't think we have very many more .
_d4542 		you want yellow okay .
_d4542 		you can get that one okay . 
_d4542 		yeah yellow . 
_d4542 		oh I'll get the phone . 
_d4542 		hello . 
_d4542 		hi I'm fine how're you ? 
_d4542 		no I don't and I haven't had a chance to check it on  . 
_d4542 		hah   okay . 
_d4542 		yeah we need some kind of box for them don't we . 
_d4542 		this one is probably to small . 
_d4542 		now let's find another box for you to use . 
_d4542 		ah: like some tupper ware . 
_d4542 		okay we need a nice how about if we put them in the bear box . 
_d4542 		ah . 
_d4542 		no . 
_d4542 		what's the matter with that box ?
_d4542 		you can dump it . 
_d4542 		oh  .
_d4542 		armadillos do that ? 
_d4542 		armadillos do what ? 
_d4542 		gorillas do that . 
_d4542 		hey there's a blue crayon on the floor there . 
_d4542 		is that yours ? 
_d4542 		I think gorillas beat their chests like that .
_d4543 		I I really don't think so . 
_d4543 		but gorillas know how to do that alright . 
_d4543 		armadillos ? 
_d4543 		I don't really think they do that I think gorillas do that . 
_d4543 		xxx . 
_d4543 		armadillos swim cross the river . 
_d4543 		armadillos know how to swim . 
_d4543 		they do that . 
_d4543 		oh okay if you say so . 
_d4543 		armadillos do that ?
_d4543 		really ? 
_d4543 		armadillos beat their fists on their chest like that ? 
_d4543 		really ? 
_d4543 		I don't think armadillos can even make fists . 
_d4543 		gorillas do it . 
_d4543 		xxx they do . 
_d4543 		yes those crayons are rolling around there . 
_d4543 		what're you doing ? 
_d4543 		are you having fun ? 
_d4543 		what's Naima doing ? 
_d4543 		you do armadillos do that ?
_d4544 		wow: . 
_d4544 		wow: . 
_d4544 		armadillos beat their chests with their fists . 
_d4544 		wow: . 
_d4544 		oh . 
_d4544 		you wanna draw some things with crayons . 
_d4544 		you want Mommy to draw with you ? 
_d4544 		oops  . 
_d4544 		draw Liza ? 
_d4544 		draw Ashay Ashay . 
_d4544 		oh this really is , okay . 
_d4544 		let's draw Ashay Ashay . 
_d4544 		what letter does it start with ? 
_d4544 		okay .
_d4544 		what letter  like that what letter does Ashay Ashay starts with ? 
_d4544 		do you know ? 
_d4544 		Ashay .
_d4544 		which way ? 
_d4544 		like that . 
_d4544 		is hard to make it to make a mark that way . 
_d4544 		let's get a clean piece of paper . 
_d4544 		you wanna get a new piece of paper . 
_d4544 		oh somebody drew on the floor it looks like .
_d4544 		I think we should probably get something to clean that up with don't you think . 
_d4544 		because we don't we're not suppose to draw on the floor . 
_d4544 		crayons yeah exactly .
_d4544 		you knew the answer . 
_d4544 		let me just get a little bit of soupy water .
_d4544 		and we'll clean it right up . 
_d4544 		Mommy is gonna erase it .
_d4544 		remember we saw the chalk board at the children's museum and we learned about erasing things . 
_d4544 		well this is a way of erasing things with soap and water . 
_d4544 		like when you drawing .
_d4544 		well we're gonna draw something on the paper just right now . 
_d4544 		oh . 
_d4544 		oh two crayons at once . 
_d4544 		two fisted join . 
_d4544 		can I use the brown one ? 
_d4544 		can I use the brown one to draw Ashay Ashay ? 
_d4544 		oh you're drawing it  . 
_d4544 		alright . 
_d4544 		okay ah: what letter is that ? 
_d4544 		xxx . 
_d4544 		what letter do you think that is ? 
_d4544 		right . 
_d4544 		and then I'm gonna make some shapes . 
_d4544 		yeah . 
_d4544 		and I'm gonna color them in . 
_d4544 		so that now there's a brown square . 
_d4544 		you know what I rather have you draw right on the paper . 
_d4544 		yeah can you make a blue circle ? 
_d4544 		mmmm  Naima's drawing shapes too . 
_d4544 		and I'll think I make a red . 
_d4544 		what's that ? 
_d4544 		yes it's a triangle . 
_d4544 		it's a red triangle . 
_d4544 		are you getting sleepy ? 
_d4544 		somebody wrote that ? 
_d4544 		Mommy drew  we draw on the paper only remember . 
_d4544 		yeah that's right . 
_d4544 		what ? 
_d4544 		eat eat what ? 
_d4544 		who eats crayons ? 
_d4544 		xxx crayons don't taste very good . 
_d4544 		so now we have a red yes we draw them we have a red circle we have a red triangle a brown square are there more crayons ?
_d4544 		let me get these .
_d4544 		oh did you just hit your head on that table ?
_d4545 		ah . 
_d4545 		okay .
_d4545 		okay .
_d4545 		okay  that must of hurt . 
_d4545 		here  ah: . 
_d4545 		okay .
_d4545 		you wanna nurse first ?
_d4545 		no Ornika . 
_d4545 		do you wanna nurse first and then put Ornika on it ? 
_d4545 		edge of that table just came out of nowhere didn't it ? 
_d4545 		that was a surprise . 
_d4545 		xxx at the library . 
_d4545 		we got the bear book out yeah . 
_d4545 		we returned it a couple of weeks ago and today we got it out again checked it out . 
_d4545 		xxx checked it out for us . 
_d4545 		mmmm+hmmm . 
_d4545 		where did you bump your head I don't really see right now . 
_d4545 		where did it hurt ? 
_d4545 		I know but where on your forehead is it hurting ? 
_d4545 		can you show me ? 
_d4545 		right there ? 
_d4545 		up here it hurts ? 
_d4545 		there on your ear ? 
_d4545 		ah: are you all set ? 
_d4545 		you wanna see some more ? 
_d4545 		I know you bumped yourself on the head . 
_d4545 		are you gonna put something on okay let's get the Ornika . 
_d4545 		and put it on your head sit up for a minute I have_to go get it . 
_d4545 		I think is right here I think is right here . 
_d4545 		don't don't worry . 
_d4545 		umm but I'm not sure where to put it I don't know where you bumped yourself exactly . 
_d4545 		let's look at Mommy for a second . 
_d4545 		ah: .
_d4545 		you can nurse again hold on .
_d4545 		let's put some Ornika on you forehead . 
_d4545 		see this could make you feel better . 
_d4545 		come sit on Mommy's lap for a second . 
_d4545 		hmmm interesting isn't it ? 
_d4545 		I think that's enough I think that's enough . 
_d4545 		I can't really see where you did it . 
_d4545 		no I'm gonna keep it closed right now and put it away . 
_d4545 		I won't forget to dry my hand . 
_d4545 		you just wanna do more drawing are you putting those away okay ? 
_d4545 		what you doing ? 
_d4545 		who's putting them in the box ? 
_d4545 		who's who's putting them in the box ? 
_d4545 		yeah I thought I heard you're saying I'm putting them in the box . 
_d4545 		are you putting them in the box ? 
_d4545 		crayons away . 
_d4545 		now looks good on here .
_d4546 		there's a blue one under there . 
_d4546 		be careful of that table edge again if you're planning to go get it . 
_d4546 		that's where you bumped yourself see right here . 
_d4546 		that's where you bumped your head . 
_d4546 		no we're not gonna do it again . 
_d4546 		we're gonna avoid doing it again . 
_d4546 		xxx oh+my+goodness . 
_d4546 		yes it's much better to bump on a pillow would you like to go in the other room and bump your head on a pillow  it's the telephone .
_d4546 		who could it be ? 
_d4546 		you think so . 
_d4546 		let's go get the phone up . 
_d4546 		you wanna come with me ? 
_d4546 		hello . 
_d4546 		yes . 
_d4546 		hi . 
_d4546 		xxx that's okay . 
_d4546 		yeah mmmm+hmmm   is not working ? 
_d4546 		ah okay I don't recall who or how but okay . 
_d4546 		mmmm+hmmm okay so it's actually already there it's not the thing you need to bring a new one or they need to bring . 
_d4546 		okay so they may  yeah [x 
_d4546 		so does it have_to be re+inspected too ? 
_d4546 		is that the issue okay . 
_d4546 		okay  okay okay okay so yeah we'll . 
_d4546 		okay that's fine . 
_d4546 		yeah that's right . 
_d4546 		that's all+right  .
_d4546 		okay . 
_d4546 		okay .
_d4546 		okay . 
_d4546 		good . 
_d4546 		good .
_d4546 		we haven't we haven't dealt with them so much to really not in detail we gonna [: going to ] to clean it up don't worry .
_d4546 		couple of things I just got the date for the furnace coming .
_d4547 		no don't climb on that . 
_d4547 		and  is gonna be next week actually so that's gonna [: going to] be all+right . 
_d4547 		ah there was something else but can't remember . 
_d4547 		ah  she's all+right she's nope [: no] nope [: no] got_to go I'll talk to you later Naima put that down please . 
_d4547 		Naima . 
_d4547 		you know what you didn't have a long enough nap . 
_d4547 		you wanna have a snack ? 
_d4547 		no . 
_d4547 		do you wanna have a nap ? 
_d4547 		you wanna have a nursie ? 
_d4547 		okay . 
_d4548 		what ? 
_d4548 		um , I'm recording for Brown , mother . 
_d4548 		okay .
_d4548 		um , what is today , today is November +...
_d4548 		eighth . 
_d4548 		yes . 
_d4548 		in the evening , and Grandma's here ! 
_d4548 		what are we making for dinner ? 
_d4548 		what did I tell you I was gonna make ? 
_d4548 		you remember ? 
_d4548 		pasta_a . 
_d4548 		you are gonna eat some . 
_d4548 		yeah . 
_d4548 		you want some of the spinach that you had yesterday ? 
_d4548 		spinach ? 
_d4548 		Naima ate some spinach yesterday . 
_d4548 		not a lot , but a little . 
_d4548 		oh , those are crunchy . 
_d4548 		crunch , crunch , crunch , it feels so dark in here . 
_d4548 		the crackers are crunchy .
_d4548 		you wanna have a little of this ? 
_d4548 		can feed yourself . 
_d4548 		spinach and crackers ,  boy . 
_d4548 		and we're gonna have pasta but I have_to cook it first . 
_d4548 		we're gonna cook the pasta . 
_d4548 		and then I will blow on it to cool it down for you . 
_d4548 		what are you eating ? 
_d4548 		what's Naima eating ? 
_d4548 		Mommy's dumping all the crackers into a bucket . 
_d4548 		it's a bucket_a of crackers . 
_d4548 		what is this ? 
_d4548 		is this spinach ? 
_d4548 		is that spinach ? 
_d4548 		hmmm . 
_d4548 		you ate them at  house , you tried those crackers and you liked them . 
_d4548 		so when I went to the store , I said  , that's something Naima will eat . 
_d4548 		in the house +//?
_d4548 		yeah , at  house . 
_d4548 		that's where you tried it . 
_d4548 		yes , we saw baby  there too . 
_d4548 		that's right .
_d4548 		what ? 
_d4548 		whose name ? 
_d4548 		oh , the other person ? 
_d4548 		xxx ,  was there that day too ,  is  friend . 
_d4548 		who is  ?
_d4548 		oh . 
_d4548 		xxx was holding  . 
_d4548 		when we saw  . 
_d4548 		what ? 
_d4548 		you're liking ? 
_d4548 		what're you liking ? 
_d4548 		what's Naima liking ? 
_d4548 		you like +...
_d4548 		you're liking  or you're liking your spinach ? 
_d4548 		yeah , it's gonna +//.
_d4548 		it's still cooking . 
_d4548 		xxx .
_d4548 		what ?
_d4548 		xxx .
_d4548 		what'd [: what did] you say ?
_d4548 		this is not  .
_d4548 		I'm going to +//.
_d4548 		as soon as I cook some I'm going to blow on it . 
_d4548 		okay . 
_d4548 		you can do it . 
_d4548 		it's a what ? 
_d4548 		it's a song +//.
_d4548 		is there a song about combination ? 
_d4548 		listened to some song about combination . 
_d4548 		that's the second time you have said that . 
_d4548 		what ? 
_d4548 		combination devasion . 
_d4548 		yeah , maybe it's in that song . 
_d4548 		mmmm . 
_d4548 		you'll have_to ask Daddy about that . 
_d4548 		devasion .
_d4548 		it's a song ?
_d4549 		it is , can you sing it ? 
_d4549 		Naima sing it . 
_d4549 		I don't know that song . 
_d4549 		hmmm . 
_d4549 		yes , that reminds us of the octagon . 
_d4549 		octagon +//.
_d4549 		where did the octagon go ?
_d4549 		is it missing ? 
_d4549 		hmmm .
_d4549 		yes , I know where Naima hid it . 
_d4549 		yeah , you hid it .
_d4549 		you hid the +//.
_d4549 		hid the octagon . 
_d4549 		you hid the octagon ? 
_d4550 		where did it go ? 
_d4550 		I think you put it in the bag . 
_d4550 		I think you hid it in the bag . 
_d4550 		oh my gosh .
_d4550 		ahh , that's a new one . 
_d4550 		pactagon .
_d4550 		pactagon .
_d4550 		Naima likes making up new words .
_d4550 		pactagon .
_d4550 		an octagon .
_d4550 		xxx .
_d4550 		pactagon ?
_d4551 		what_a ? 
_d4551 		xxx .
_d4551 		the daughter ? 
_d4551 		the daughter ,  . 
_d4551 		okay +...
_d4551 		happy happy happy ?
_d4551 		xxx . 
_d4551 		oh , I should have seen how long I'm supposed to cook this chicken and pasta .
_d4551 		hmmm , seven to ten minutes . 
_d4551 		it takes twenty+five +...
_d4551 		the kale is cold .
_d4551 		the kale is cold . 
_d4551 		pasta is cooking , you're right . 
_d4551 		pasta is still +...
_d4551 		cooking . 
_d4551 		mmmm . 
_d4551 		tentagon ? 
_d4551 		xxx .
_d4551 		what's a tentagon ?
_d4551 		tentagon . 
_d4551 		octagon .
_d4551 		what's underneath the octagon ? 
_d4551 		a stop sign . 
_d4551 		oh . 
_d4551 		yeah .
_d4551 		what's under the pentagon ? 
_d4551 		a house is under the pentagon .
_d4551 		a pentagon has five sides .
_d4551 		pentagon has five sides . 
_d4551 		xxx .
_d4551 		what_a ?
_d4551 		xxx .
_d4551 		bog .
_d4551 		gog .
_d4551 		that's a new word , that's nice she made up that word  .
_d4552 		gog . 
