_d4880 		xxx has the (.) transmitter in it . 
_d4923 		you wanna take the baby book to music class ? 
_d4923 		well usually we don't bring things like this to music class because (.) there's so much to do at music class , there's hardly any time to do anything else . 
_d4923 		we could read it now .
_d4923 		y'ant [: you want] me to read this one ? 
_d4923 		up on your toes , in for a kiss .
_d4923 		xxx . 
_d4923 		up on your toes and I hug you (.) like this . 
_d4923 		up on your toes , in for a +... 
_d4923 		a hug !
_d4923 		up on your toes , you're my +...
_d4923 		sweet little bug . 
_d4923 		didja [: did you] knock your head on that ? 
_d4923 		you're going in your house .
_d4923 		okay . 
_d4923 		xxx . 
_d4923 		you going out ? 
_d4923 		I see that , yeah .
_d4923 		xxx .
_d4923 		there's something that I want to measure . 
_d4923 		xxx your trains going over the bridge . 
_d4923 		xxx . 
_d4923 		I want to measure your (.) toy shelf . 
_d4923 		you wanna measure your toys ? 
_d4923 		you could measure some toys and I could measure the toy shelf . 
_d4923 		you wanna measure a book ? 
_d4923 		let's see , where is there a tape+measure ? 
_d4923 		d'you [: do you] know , have you seen a tape+measure ?
_d4923 		measuring+tape ? 
_d4923 		have you seen the measuring+tape ? 
_d4923 		can you be careful cause [: because] the camera's right there ? 
_d4923 		let's look for the measuring+tape and then we can measure things . 
_d4923 		xxx .
_d4923 		no you wanna measure blocks or you wanna play with the blocks . 
_d4923 		but we do need to find a measuring tape don't we , to measure them ? 
_d4923 		oh , you wanna pretend to measure things . 
_d4923 		xxx . 
_d4924 		let's see , I know I saw some measuring+tape very recently . 
_d4924 		measuring+tape . 
_d4924 		here's some measuring tape . 
_d4924 		xxx . 
_d4924 		oh that radio's stuck there huh ? 
_d4924 		here you go . 
_d4924 		there . 
_d4924 		I'm going to go look for something that I need .
_d4924 		I'm looking for (.) the (..) children's furniture catalog .
_d4924 		that used to be in the kitchen .
_d4924 		and I don't know (.) if it's +//.
_d4924 		I'm gonna look and see if it's still here .
_d4925 		it might still be here . 
_d4925 		here's that thing .
_d4925 		what is Naima doing ? 
_d4925 		I don't see it .
_d4925 		you're taking +//.
_d4925 		oh you took it off !
_d4925 		hold on , hold on !
_d4925 		oh+my+goodness .
_d4925 		will you help me find that catalog ? 
_d4925 		let's go look for it in the bedroom . 
_d4925 		hey , hey , hey !
_d4925 		oh dear .
_d4925 		let's lift your foot up for a second .
_d4925 		there , okay .
_d4926 		yer [: you are] playing in your play suit ? 
_d4926 		d'ya [: do you] wanna get a snack soon ? 
_d4926 		are you hungry at all ? 
_d4926 		dijou [: did you] eat lunch with Daddy ? 
_d4926 		what did you eat for lunch Naima , d'you [: do you] remember ?
_d4926 		dijou [: did you] really eat garlic hummus for lunch ?
_d4926 		hey that's great ! 
_d4926 		dijou [: did you] have it with a spoon or dijou [: did you] have it with crackers ? 
_d4926 		oh boy .
_d4926 		that sounds terrific . 
_d4926 		I'm still looking for that catalog that I mentioned .
_d4926 		cause [: because] there's something I need to measure . 
_d4926 		I hope I didn't throw it out by accident . 
_d4926 		well I need to measure your +... 
_d4926 		fooey said Mommy . 
_d4926 		fooey . 
_d4926 		you're kissing my back ?
_d4926 		oh !
_d4926 		those are big kisses on my back . 
_d4926 		thank you , what nice kisses . 
_d4926 		I don't see it here though . 
_d4926 		where  wouldjou [: would you] like to go ? 
_d4926 		huh: . 
_d4926 		xxx . 
_d4926 		maybe I put it in the bathroom .
_d4926 		are you putting on my flip+flops ? 
_d4926 		are you putting on my flip+flops ?
_d4926 		silly miss willy . 
_d4926 		those are very big .
_d4926 		those flip+flops are bigger than your feet .
_d4926 		why on'chou [: don't you] bring em [: them] in here ? 
_d4926 		xxx where's that thingy ?
_d4926 		yer [: you're] carrying around Mommy's flip+flops . 
_d4926 		that's what it looks like . 
_d4926 		&aw fooey , fooey , fooey . 
_d4926 		fooey , fooey , fooey .
_d4926 		uh , no , you know what , I'd like you to stop using those drawers .
_d4926 		I'd like you to leave them closed . 
_d4926 		thank you . 
_d4926 		what are you doing with Mommy's flip+flops Naima ?
_d4926 		are you using my flip+flops ? 
_d4926 		ho: . 
_d4926 		what are you doing with them ? 
_d4926 		what are you doing with the flip+flops ? 
_d4926 		are you trying to take them apart ? 
_d4926 		xxx fooey , fooey , fooey . 
_d4926 		what ? 
_d4926 		woo Mary well ? 
_d4926 		what does that mean ?
_d4926 		Rosemary Wells .
_d4926 		she's an author . 
_d4926 		which book are you thinking about ?
_d4926 		Rosemary Wells is a children's book author . 
_d4926 		oh here's the catalog !
_d4926 		it was hiding in here all along .
_d4926 		no .
_d4926 		it's the catalog .
_d4926 		it's the children's furniture catalog .
_d4927 		now I'm gonna go back in here (.) and measure something . 
_d4927 		oh dear . 
_d4927 		you're doing that on purpose .
_d4927 		let's put it back on . 
_d4927 		oh+my+goodness !
_d4927 		xxx what's that noise ? 
_d4927 		what's that noise ? 
_d4927 		ouch . 
_d4927 		what was that noise ? 
_d4927 		your fire engine book ? 
_d4927 		someone's +//. 
_d4927 		who's sliding down that pole ?
_d4927 		is it a firefighter ? 
_d4927 		they're putting out the fire with the water and the hose , aren't they ?
_d4927 		Rosemary Wells ? 
_d4927 		she's the person who writes the Max books . 
_d4927 		and the Edward books , she wrote those books . 
_d4927 		oh , that firefighter's [: firefighter is] wearing black (.) shirt and black pants that will protect (.) him from the fire . 
_d4927 		that's the fire in the forest . 
_d4927 		that's the forest+fire . 
_d4927 		mmmm . 
_d4927 		oh , that's the fire chief , he's using a walkie+talkie . 
_d4928 		I think they are actually holding some hoses that have (.)  and they're putting out fire with the water in the hoses . 
_d4928 		I think that's what they're doing . 
_d4928 		I think the Max books are in Mommy and Daddy's room . 
_d4928 		which person ? 
_d4928 		the fire chief is talking on the walkie+talkie . 
_d4928 		it's sort of like a telephone .
_d4928 		that is a fire station .
_d4928 		what do you think belongs inside that big door ?
_d4928 		a fire engine ?
_d4928 		oh I think so .
_d4928 		you think he's gonna put his helmet inside the fire engine ?
_d4928 		mmmm+hmmm .
_d4929 		oh , you're putting that book back in the (.) book rack . 
_d4929 		good idea . 
_d4929 		oh that's: hide and seek puppy . 
_d4929 		okay .
_d4929 		what're [: what are] you doing ? 
_d4929 		well can you not stand on me right this moment ?
_d4929 		that's that doesn't that hurts a little bit . 
_d4929 		puppy   here we go . 
_d4929 		let's do this right . 
_d4929 		let's play hide and seek  +//. 
_d4929 		ouch , please get off .
_d4929 		thank you .
_d4929 		let's play hide and seek says bunny , you hide first little pup . 
_d4929 		cat asks who is in the flower pot ?
_d4929 		me: says puppy jumping up . 
_d4929 		hmmm .
_d4929 		puppy wants to hide once more so cat counts up to ten . 
_d4929 		one two three four five six seven eight nine ten . 
_d4929 		as bunny looks behind a bush puppy jumps up ! 
_d4929 		yet again ! 
_d4929 		let's play tag says puppy as he runs behind a tree . 
_d4929 		puppy jumps up in the flowers and says +... 
_d4929 		ya [: you] can't catch me . 
_d4929 		oh dear say cat and bunny , rain is starting to fall .
_d4929 		that's fine with me says puppy , splashing is the best game of all . 
_d4929 		I think I already asked you to stop stepping on my leg . 
_d4929 		thank you . 
_d4929 		that's a good book . 
_d4929 		d'you [: do you] know how to make the puppy go up and down ?
_d4929 		xxx  . 
_d4929 		yeah ? 
_d4929 		oh should we look  for that in the library ?
_d4929 		we could do that . 
_d4929 		three inches high .
_d4929 		you have socks ? 
_d4929 		you do have socks and shoes on .
_d4929 		Mommy's gonna measure something now . 
_d4929 		xxx measuring .
_d4929 		I'm measuring your shelf . 
_d4929 		that's six inches . 
_d4929 		so that should actually +...
_d4929 		six inches high base .
_d4929 		eight and three quarters by eleven and one quarter . 
_d4929 		you pulling on the measuring tape ? 
_d4929 		eleven and three quarters , that would fit . 
_d4929 		and eight and +//.
_d4929 		you're trying to break it ? 
_d4929 		eight and three quarters .
_d4929 		well please don't please don't break it . 
_d4929 		so this needs to be (.) sixteen seventeen and a half inches .
_d4929 		you helping me measure ? 
_d4929 		so two deep totes would fit here .
_d4929 		okay .
_d4929 		okay , you can measure the book . 
_d4929 		the Edward book is in Mommy and Daddy's room , I think . 
_d4929 		oh you wanna put that on your coat rack ? 
_d4929 		d'jamme [: do you want me] to go with you while you do that ? 
_d4929 		shall we go  +//. 
_d4929 		oh you're gonna put that (.) loop on the hook ?
_d4929 		what a good idea . 
_d4929 		let's go hang that up . 
_d4929 		you have got the loop on your thumb , don't you ? 
_d4929 		yeah .
_d4929 		you've got the loop on your thumb .
_d4929 		hey , good job ! 
_d4929 		I didn't know you could do that ! 
_d4929 		wow . 
_d4929 		xxx .
_d4929 		wow . 
_d4929 		you did do that .
_d4929 		you can hang your coat up all by yourself , what a big girl . 
_d4929 		I'm gonna see if these things are dry . 
_d4929 		and actually they need to get dry a little bit longer .
_d4929 		yeah , we don't touch the diaper pale , do we ? 
_d4929 		yeah .
_d4929 		you were just looking ? 
_d4929 		that's okay .
_d4929 		all+right .
_d4929 		xxx been taping quite a while . 
_d4929 		maybe we can turn off the tape . 
_d4929 		mmmm . 
_d4929 		let's see .
_d4929 		you wanna see yourself on the (.) camera ? 
