_t4 		xxx has the (.) transmitter in it . 
_t4 		thank you , what nice kisses . 
_t4 		I don't see it here though . 
_t4 		where  wouldjou [: would you] like to go ? 
_t4 		huh: . 
_t4 		xxx . 
_t4 		maybe I put it in the bathroom .
_t4 		are you putting on my flip+flops ? 
_t4 		are you putting on my flip+flops ?
_t4 		silly miss willy . 
_t4 		those are very big .
_t4 		those flip+flops are bigger than your feet .
_t4 		why on'chou [: don't you] bring em [: them] in here ? 
_t4 		xxx where's that thingy ?
_t4 		yer [: you're] carrying around Mommy's flip+flops . 
_t4 		that's what it looks like . 
_t4 		&aw fooey , fooey , fooey . 
_t4 		fooey , fooey , fooey .
_t4 		uh , no , you know what , I'd like you to stop using those drawers .
_t4 		I'd like you to leave them closed . 
_t4 		thank you . 
_t4 		what are you doing with Mommy's flip+flops Naima ?
_t4 		are you using my flip+flops ? 
_t4 		ho: . 
_t4 		what are you doing with them ? 
_t4 		what are you doing with the flip+flops ? 
_t4 		are you trying to take them apart ? 
_t4 		xxx fooey , fooey , fooey . 
_t4 		what ? 
_t4 		woo Mary well ? 
_t4 		what does that mean ?
_t4 		Rosemary Wells .
_t4 		she's an author . 
_t4 		which book are you thinking about ?
_t4 		Rosemary Wells is a children's book author . 
_t4 		oh here's the catalog !
_t4 		it was hiding in here all along .
_t4 		no .
_t4 		it's the catalog .
_t4 		it's the children's furniture catalog .
_t4 		now I'm gonna go back in here (.) and measure something . 
_t4 		oh dear . 
_t4 		you're doing that on purpose .
_t4 		let's put it back on . 
_t4 		oh+my+goodness !
_t4 		xxx what's that noise ? 
_t4 		what's that noise ? 
_t4 		ouch . 
_t4 		what was that noise ? 
_t4 		your fire engine book ? 
_t4 		someone's +//. 
_t4 		who's sliding down that pole ?
_t4 		is it a firefighter ? 
_t4 		they're putting out the fire with the water and the hose , aren't they ?
_t4 		Rosemary Wells ? 
_t4 		she's the person who writes the Max books . 
_t4 		and the Edward books , she wrote those books . 
_t4 		oh , that firefighter's [: firefighter is] wearing black (.) shirt and black pants that will protect (.) him from the fire . 
_t4 		that's the fire in the forest . 
_t4 		that's the forest+fire . 
_t4 		mmmm . 
_t4 		oh , that's the fire chief , he's using a walkie+talkie . 
_t4 		I think they are actually holding some hoses that have (.)  and they're putting out fire with the water in the hoses . 
_t4 		I think that's what they're doing . 
_t4 		I think the Max books are in Mommy and Daddy's room . 
_t4 		which person ? 
_t4 		the fire chief is talking on the walkie+talkie . 
_t4 		it's sort of like a telephone .
_t4 		that is a fire station .
_t4 		what do you think belongs inside that big door ?
_t4 		a fire engine ?
_t4 		oh I think so .
_t4 		you think he's gonna put his helmet inside the fire engine ?
_t4 		mmmm+hmmm .
_t4 		oh , you're putting that book back in the (.) book rack . 
_t4 		good idea . 
_t4 		oh that's: hide and seek puppy . 
_t4 		okay .
_t4 		what're [: what are] you doing ? 
_t4 		well can you not stand on me right this moment ?
_t4 		that's that doesn't that hurts a little bit . 
_t4 		puppy   here we go . 
_t4 		let's do this right . 
_t4 		let's play hide and seek  +//. 
_t4 		ouch , please get off .
_t4 		thank you .
_t4 		let's play hide and seek says bunny , you hide first little pup . 
_t4 		cat asks who is in the flower pot ?
_t4 		me: says puppy jumping up . 
_t4 		hmmm .
_t4 		puppy wants to hide once more so cat counts up to ten . 
_t4 		one two three four five six seven eight nine ten . 
_t4 		as bunny looks behind a bush puppy jumps up ! 
_t4 		yet again ! 
_t4 		let's play tag says puppy as he runs behind a tree . 
_t4 		puppy jumps up in the flowers and says +... 
_t4 		ya [: you] can't catch me . 
_t4 		oh dear say cat and bunny , rain is starting to fall .
_t4 		that's fine with me says puppy , splashing is the best game of all . 
_t4 		I think I already asked you to stop stepping on my leg . 
_t4 		thank you . 
_t4 		that's a good book . 
_t4 		d'you [: do you] know how to make the puppy go up and down ?
_t4 		xxx  . 
_t4 		yeah ? 
_t4 		oh should we look  for that in the library ?
_t4 		we could do that . 
_t4 		three inches high .
_t4 		you have socks ? 
_t4 		you do have socks and shoes on .
_t4 		Mommy's gonna measure something now . 
_t4 		xxx measuring .
_t4 		I'm measuring your shelf . 
_t4 		that's six inches . 
_t4 		so that should actually +...
_t4 		six inches high base .
_t4 		eight and three quarters by eleven and one quarter . 
_t4 		you pulling on the measuring tape ? 
_t4 		eleven and three quarters , that would fit . 
_t4 		and eight and +//.
_t4 		you're trying to break it ? 
_t4 		eight and three quarters .
_t4 		well please don't please don't break it . 
_t4 		so this needs to be (.) sixteen seventeen and a half inches .
_t4 		you helping me measure ? 
_t4 		so two deep totes would fit here .
_t4 		okay .
_t4 		okay , you can measure the book . 
_t4 		the Edward book is in Mommy and Daddy's room , I think . 
_t4 		oh you wanna put that on your coat rack ? 
_t4 		d'jamme [: do you want me] to go with you while you do that ? 
_t4 		shall we go  +//. 
_t4 		oh you're gonna put that (.) loop on the hook ?
_t4 		what a good idea . 
_t4 		let's go hang that up . 
_t4 		you have got the loop on your thumb , don't you ? 
_t4 		yeah .
_t4 		you've got the loop on your thumb .
_t4 		hey , good job ! 
_t4 		I didn't know you could do that ! 
_t4 		wow . 
_t4 		xxx .
_t4 		wow . 
_t4 		you did do that .
_t4 		you can hang your coat up all by yourself , what a big girl . 
_t4 		I'm gonna see if these things are dry . 
_t4 		and actually they need to get dry a little bit longer .
_t4 		yeah , we don't touch the diaper pale , do we ? 
_t4 		yeah .
_t4 		you were just looking ? 
_t4 		that's okay .
_t4 		all+right .
_t4 		xxx been taping quite a while . 
_t4 		maybe we can turn off the tape . 
_t4 		mmmm . 
_t4 		let's see .
_t4 		you wanna see yourself on the (.) camera ? 
